2020-04-23 03:03:43 install dpkg-dev:all <none> 1.19.7
2020-04-23 03:03:43 status half-installed dpkg-dev:all 1.19.7
2020-04-23 03:03:43 status unpacked dpkg-dev:all 1.19.7
2020-04-23 03:03:43 install libcc1-0:amd64 <none> 8.3.0-6
2020-04-23 03:03:43 status half-installed libcc1-0:amd64 8.3.0-6
2020-04-23 03:03:43 status unpacked libcc1-0:amd64 8.3.0-6
2020-04-23 03:03:43 install libgomp1:amd64 <none> 8.3.0-6
2020-04-23 03:03:43 status half-installed libgomp1:amd64 8.3.0-6
2020-04-23 03:03:43 status unpacked libgomp1:amd64 8.3.0-6
2020-04-23 03:03:43 install libitm1:amd64 <none> 8.3.0-6
2020-04-23 03:03:43 status half-installed libitm1:amd64 8.3.0-6
2020-04-23 03:03:43 status unpacked libitm1:amd64 8.3.0-6
2020-04-23 03:03:43 install libatomic1:amd64 <none> 8.3.0-6
2020-04-23 03:03:43 status half-installed libatomic1:amd64 8.3.0-6
2020-04-23 03:03:43 status unpacked libatomic1:amd64 8.3.0-6
2020-04-23 03:03:43 install libasan5:amd64 <none> 8.3.0-6
2020-04-23 03:03:43 status half-installed libasan5:amd64 8.3.0-6
2020-04-23 03:03:43 status unpacked libasan5:amd64 8.3.0-6
2020-04-23 03:03:43 install liblsan0:amd64 <none> 8.3.0-6
2020-04-23 03:03:43 status half-installed liblsan0:amd64 8.3.0-6
2020-04-23 03:03:43 status unpacked liblsan0:amd64 8.3.0-6
2020-04-23 03:03:43 install libtsan0:amd64 <none> 8.3.0-6
2020-04-23 03:03:43 status half-installed libtsan0:amd64 8.3.0-6
2020-04-23 03:03:43 status unpacked libtsan0:amd64 8.3.0-6
2020-04-23 03:03:43 install libubsan1:amd64 <none> 8.3.0-6
2020-04-23 03:03:43 status half-installed libubsan1:amd64 8.3.0-6
2020-04-23 03:03:43 status unpacked libubsan1:amd64 8.3.0-6
2020-04-23 03:03:43 install libmpx2:amd64 <none> 8.3.0-6
2020-04-23 03:03:43 status half-installed libmpx2:amd64 8.3.0-6
2020-04-23 03:03:43 status unpacked libmpx2:amd64 8.3.0-6
2020-04-23 03:03:43 install libquadmath0:amd64 <none> 8.3.0-6
2020-04-23 03:03:43 status half-installed libquadmath0:amd64 8.3.0-6
2020-04-23 03:03:43 status unpacked libquadmath0:amd64 8.3.0-6
2020-04-23 03:03:43 install libgcc-8-dev:amd64 <none> 8.3.0-6
2020-04-23 03:03:43 status half-installed libgcc-8-dev:amd64 8.3.0-6
2020-04-23 03:03:44 status unpacked libgcc-8-dev:amd64 8.3.0-6
2020-04-23 03:03:44 install gcc-8:amd64 <none> 8.3.0-6
2020-04-23 03:03:44 status half-installed gcc-8:amd64 8.3.0-6
2020-04-23 03:03:45 status unpacked gcc-8:amd64 8.3.0-6
2020-04-23 03:03:45 install gcc:amd64 <none> 4:8.3.0-1
2020-04-23 03:03:45 status half-installed gcc:amd64 4:8.3.0-1
2020-04-23 03:03:45 status unpacked gcc:amd64 4:8.3.0-1
2020-04-23 03:03:45 install gnupg-l10n:all <none> 2.2.12-1+deb10u1
2020-04-23 03:03:45 status half-installed gnupg-l10n:all 2.2.12-1+deb10u1
2020-04-23 03:03:45 status unpacked gnupg-l10n:all 2.2.12-1+deb10u1
2020-04-23 03:03:45 install gnupg-utils:amd64 <none> 2.2.12-1+deb10u1
2020-04-23 03:03:45 status half-installed gnupg-utils:amd64 2.2.12-1+deb10u1
2020-04-23 03:03:46 status unpacked gnupg-utils:amd64 2.2.12-1+deb10u1
2020-04-23 03:03:46 install libsqlite3-0:amd64 <none> 3.27.2-3
2020-04-23 03:03:46 status half-installed libsqlite3-0:amd64 3.27.2-3
2020-04-23 03:03:46 status unpacked libsqlite3-0:amd64 3.27.2-3
2020-04-23 03:03:46 install gpg:amd64 <none> 2.2.12-1+deb10u1
2020-04-23 03:03:46 status half-installed gpg:amd64 2.2.12-1+deb10u1
2020-04-23 03:03:46 status unpacked gpg:amd64 2.2.12-1+deb10u1
2020-04-23 03:03:46 install pinentry-curses:amd64 <none> 1.1.0-2
2020-04-23 03:03:46 status half-installed pinentry-curses:amd64 1.1.0-2
2020-04-23 03:03:46 status unpacked pinentry-curses:amd64 1.1.0-2
2020-04-23 03:03:46 install gpg-agent:amd64 <none> 2.2.12-1+deb10u1
